iter	Passed	Remaining
0	743	73612
1	923	45258
2	1081	34974
3	1235	29660
4	2173	41305
5	2366	37067
6	2714	36059
7	2873	33043
8	3092	31268
9	3268	29412
10	3428	27741
11	3594	26359
12	3753	25118
13	3922	24097
14	4162	23589
15	4328	22723
16	4767	23278
17	4914	22390
18	5160	21998
19	5347	21389
20	5584	21007
21	5815	20618
22	6145	20573
23	6392	20242
24	6703	20111
25	7011	19954
26	7400	20008
27	7617	19588
28	7890	19318
29	8139	18991
30	8285	18441
31	8447	17951
32	8598	17458
33	8752	16989
34	8893	16516
35	9135	16240
36	9278	15798
37	9418	15367
38	9572	14971
39	9702	14553
40	9870	14203
41	10077	13916
42	10253	13591
43	10380	13211
44	10522	12861
45	10725	12591
46	10916	12310
47	11239	12176
48	11451	11919
49	11653	11653
50	11862	11397
51	12041	11114
52	12193	10813
53	12415	10576
54	12575	10288
55	12737	10008
56	13080	9867
57	13302	9632
58	13486	9371
59	13626	9084
60	13774	8806
61	13979	8568
62	14181	8328
63	14361	8078
64	14507	7811
65	14651	7547
66	14791	7285
67	14963	7041
68	15214	6835
69	15370	6587
70	15530	6343
71	15692	6102
72	15844	5860
73	15986	5616
74	16244	5414
75	16422	5185
76	16593	4956
77	16741	4722
78	16903	4493
79	17139	4284
80	17292	4056
81	17457	3832
82	17617	3608
83	17791	3388
84	17944	3166
85	18171	2958
86	18318	2737
87	18490	2521
88	18628	2302
89	18798	2088
90	18956	1874
91	19209	1670
92	19376	1458
93	19505	1245
94	19640	1033
95	19772	823
96	19938	616
97	20182	411
98	20366	205
99	20517	0
