iter	PrecisionAt:top=5	RecallAt:top=5
0	0.3040983607	0.2018631771
1	0.3489071038	0.2188471131
2	0.3808743169	0.2285552572
3	0.4284153005	0.2382109775
4	0.4303278689	0.2383312904
5	0.456010929	0.2458987482
6	0.4714480874	0.2501417012
7	0.4734972678	0.2502631361
8	0.474726776	0.2517488469
9	0.4841530055	0.2549946467
10	0.4853825137	0.2541724084
11	0.4859289617	0.254608544
12	0.5084699454	0.2605820998
13	0.5147540984	0.2636455176
14	0.525136612	0.2666497459
15	0.5271857923	0.2677758605
16	0.5289617486	0.2675212493
17	0.5321038251	0.2690911596
18	0.5327868852	0.2692968289
19	0.5337431694	0.2695879662
20	0.5355191257	0.2700498997
21	0.5352459016	0.2694518889
22	0.5353825137	0.2688398909
23	0.5419398907	0.2696352543
24	0.5441256831	0.2714533124
25	0.5459016393	0.2721480436
26	0.5476775956	0.2726598303
27	0.550136612	0.2732737482
28	0.5525956284	0.275265295
29	0.5535519126	0.2760695508
30	0.556557377	0.2773601144
31	0.5569672131	0.2774095509
32	0.5581967213	0.279120999
33	0.5603825137	0.2789823101
34	0.5632513661	0.2798334051
35	0.5636612022	0.2790434142
36	0.5668032787	0.2810148588
37	0.568579235	0.2807541731
38	0.5703551913	0.2819056997
39	0.575273224	0.2855067932
40	0.5781420765	0.2861493546
41	0.5808743169	0.2873519567
42	0.5818306011	0.2880610612
43	0.5827868852	0.2883555993
44	0.5849726776	0.2889313715
45	0.5857923497	0.289391052
46	0.5853825137	0.2896416448
47	0.587431694	0.2904988813
48	0.587431694	0.2908207372
49	0.587704918	0.2911679304
50	0.5882513661	0.2921509006
51	0.5885245902	0.2925046475
52	0.5892076503	0.292362557
53	0.5894808743	0.2934306136
54	0.5901639344	0.2933815513
55	0.5946721311	0.2960159152
56	0.5949453552	0.2961399234
57	0.5943989071	0.295548567
58	0.5954918033	0.2968863938
59	0.5969945355	0.2974789311
60	0.5974043716	0.2976973937
61	0.5969945355	0.2972302396
62	0.5972677596	0.2972852339
63	0.5963114754	0.2972829044
64	0.5967213115	0.2969752686
65	0.5967213115	0.2967589193
66	0.5972677596	0.2967960303
67	0.5978142077	0.2963466482
68	0.5987704918	0.2972061095
69	0.5987704918	0.2973307711
70	0.5991803279	0.2971648268
71	0.5995901639	0.2978928882
72	0.6006830601	0.2984454007
73	0.6005464481	0.2976563069
74	0.6012295082	0.2984069834
75	0.6015027322	0.2995193391
76	0.6017759563	0.2993105441
77	0.6027322404	0.2999370472
78	0.6020491803	0.2988921777
79	0.6027322404	0.2997960443
80	0.6025956284	0.298999926
81	0.6031420765	0.2991079191
82	0.6047814208	0.2996679557
83	0.6045081967	0.2998348128
84	0.6056010929	0.3001285188
85	0.6051912568	0.2998418701
86	0.6050546448	0.2998292086
87	0.606284153	0.3000034243
88	0.606420765	0.300215328
89	0.606557377	0.3000599318
90	0.6086065574	0.3012929944
91	0.6092896175	0.3017609648
92	0.6102459016	0.3022364918
93	0.6107923497	0.3022059406
94	0.6103825137	0.3021585633
95	0.6105191257	0.3025194614
96	0.6109289617	0.3025391056
97	0.6114754098	0.3023242731
98	0.6116120219	0.3026945055
99	0.6113387978	0.3027438399
100	0.6118852459	0.302936993
101	0.612295082	0.3029931251
102	0.6136612022	0.303605244
103	0.6137978142	0.3037812927
104	0.6143442623	0.3038750952
105	0.6153005464	0.3041745821
106	0.6154371585	0.304383719
107	0.6162568306	0.3051846455
108	0.6168032787	0.3054438065
109	0.6166666667	0.3053908771
110	0.6165300546	0.3050541432
111	0.6165300546	0.3052130591
112	0.6181693989	0.306209654
113	0.6183060109	0.3059433042
114	0.6193989071	0.3065326574
115	0.6193989071	0.3067202898
116	0.6204918033	0.3072520548
117	0.6199453552	0.3068889515
118	0.6198087432	0.306972354
119	0.6202185792	0.3072954344
120	0.6202185792	0.3072620061
121	0.6202185792	0.3075724137
122	0.6207650273	0.308483008
123	0.6214480874	0.3088629529
124	0.6219945355	0.3091968737
125	0.6218579235	0.3090664713
126	0.6225409836	0.3095058657
127	0.6222677596	0.3086766794
128	0.6233606557	0.3098970286
129	0.6230874317	0.3092361729
130	0.6241803279	0.3095321234
131	0.6244535519	0.3095627223
132	0.624863388	0.3098181698
133	0.624726776	0.3098360787
134	0.6254098361	0.3101836005
135	0.6262295082	0.3106769569
136	0.6274590164	0.311030298
137	0.6280054645	0.3111303959
138	0.6278688525	0.3109838723
139	0.6275956284	0.3106855284
140	0.6284153005	0.3114663106
141	0.6290983607	0.3111349321
142	0.6290983607	0.3117927461
143	0.6299180328	0.3115433359
144	0.6297814208	0.311457768
145	0.6299180328	0.3124218142
146	0.6299180328	0.3129352736
147	0.6297814208	0.3123319748
148	0.6307377049	0.3134447936
149	0.6306010929	0.3133023697
150	0.6306010929	0.3135399083
151	0.6303278689	0.3132596785
152	0.631284153	0.3138285978
153	0.631147541	0.3138270425
154	0.6306010929	0.3136854242
155	0.6300546448	0.312785974
