iter	Passed	Remaining
0	552	2762988
1	1050	2624337
2	1635	2724327
3	2134	2665646
4	2745	2742709
5	3207	2669615
6	3907	2787427
7	4754	2966964
8	5275	2925749
9	5771	2880149
10	6238	2829666
11	6676	2775195
12	7178	2753764
13	7647	2723761
14	8183	2719699
15	8636	2690132
16	9170	2688124
17	9530	2637747
18	10065	2638793
19	10606	2641018
20	11323	2684753
21	11948	2703602
22	12436	2691132
23	12942	2683382
24	13399	2666445
25	13957	2670177
26	14476	2666320
27	15087	2679047
28	15549	2665435
29	16071	2662460
30	16477	2641108
31	17042	2645869
32	17568	2644262
33	18103	2644109
34	18555	2632244
35	19107	2634668
36	19582	2626760
37	20134	2629119
38	20662	2628383
39	21373	2650337
40	22182	2682954
41	22600	2667966
42	23107	2663753
43	23551	2652707
44	24064	2649728
45	24522	2641000
46	25036	2638441
47	25427	2623289
48	25856	2612578
49	26313	2605041
50	26714	2592319
51	27142	2582738
52	27591	2575379
53	28220	2584821
54	28598	2571239
55	29060	2565648
56	29557	2563165
57	30057	2561114
58	30538	2557481
59	31023	2554283
60	31561	2555448
61	32212	2565584
62	32743	2565914
63	33207	2561147
64	33665	2555988
65	34330	2566490
66	34976	2575204
67	35538	2577602
68	35987	2571832
69	36481	2569310
70	37020	2570074
71	37449	2563228
72	37812	2552104
73	38321	2550956
74	38769	2545870
75	39266	2544072
76	39723	2539750
77	40247	2539692
78	40764	2539297
79	41304	2540238
80	41705	2532723
81	42177	2529607
82	42663	2527430
83	43228	2529892
84	43631	2522921
85	44127	2521398
86	44574	2517203
87	45120	2518531
88	45621	2517368
89	46203	2520640
90	46661	2517146
91	47201	2518107
92	47661	2514790
93	48242	2517872
94	48790	2519133
95	49242	2515469
96	49727	2513529
97	50259	2514019
98	50666	2508250
99	51202	2508926
100	51670	2506279
101	52194	2506367
102	52544	2498138
103	52935	2492032
104	53490	2493654
105	54176	2501303
106	54649	2499080
107	55118	2496678
108	55486	2489745
109	55892	2484688
110	56396	2484000
111	56898	2483193
112	57443	2484309
113	57818	2478073
114	58278	2475585
115	58713	2472032
116	59204	2470898
117	59692	2469634
118	60327	2474438
119	60850	2474588
120	61381	2475043
121	61798	2470918
122	62249	2468207
123	62675	2464569
124	63112	2461400
125	63702	2464168
126	64899	2490207
127	65903	2508459
128	66519	2511766
129	67151	2515603
130	67680	2515548
131	68384	2521951
132	68848	2519430
133	69302	2516611
134	69735	2513077
135	70297	2514179
136	70795	2512978
137	71319	2512711
138	71789	2510562
139	72201	2506438
140	72612	2502309
141	73040	2498793
142	73522	2497205
143	73885	2491593
144	74419	2491786
145	74891	2489900
146	75619	2496484
147	75975	2490761
148	76568	2492840
149	76985	2489207
150	77416	2486042
151	77846	2482902
152	78348	2482056
153	78727	2477375
154	79100	2472540
155	79606	2471892
156	80003	2467892
157	80493	2466754
158	80927	2463962
159	81393	2462161
160	81840	2459792
161	82326	2458601
162	82712	2454471
163	83162	2452269
164	83675	2451957
165	84116	2449517
166	84588	2447987
167	85046	2446110
168	85591	2446701
169	86212	2449452
170	86795	2451084
171	87213	2448058
172	87727	2447745
173	88138	2444582
174	88638	2443885
175	89046	2440694
176	89511	2439061
177	89922	2435994
178	90413	2435112
179	90833	2432307
180	91223	2428758
181	91683	2427101
182	92117	2424744
183	92662	2425328
184	93094	2422964
185	93812	2428025
186	94533	2433107
187	94927	2429731
188	95295	2425743
189	95853	2426600
190	96496	2429601
191	97042	2430111
192	97521	2428950
193	97961	2426831
194	98297	2422139
195	98825	2422240
196	99311	2421284
197	99785	2420058
198	100162	2416491
199	100699	2416789
200	101080	2413366
201	101720	2416122
202	102124	2413251
203	102554	2411038
204	102965	2408385
205	103321	2404483
206	103842	2404425
207	104169	2399908
208	104653	2399023
