,user_id,recommendations
0,1,"[865456, 1082269, 8293439, 856942, 942778]"
1,2,"[838136, 970481, 885023, 1106523, 5569471]"
2,3,"[1053690, 1096727, 951590, 937791, 909396]"
3,4,"[962229, 13115481, 1036347, 1075368, 13115703]"
4,5,"[1071939, 1003031, 1109200, 9677056, 962199]"
5,6,"[900802, 13131271, 1029743, 1024306, 899624]"
6,7,"[1106523, 9338009, 1122358, 1003188, 1070820]"
7,8,"[15629817, 1127624, 1029743, 859075, 1096036]"
8,9,"[962568, 1029743, 962229, 1106523, 1126899]"
9,10,"[1085604, 893501, 1053690, 8090537, 8090521]"
10,11,"[1127831, 962568, 863447, 970030, 903325]"
11,12,"[898068, 962568, 1041796, 871756, 1056509]"
12,13,"[862070, 886317, 1038985, 1029743, 844179]"
13,14,"[951590, 6533765, 1025611, 1127758, 1120213]"
14,15,"[1029743, 1106523, 1070820, 1082269, 1126899]"
15,16,"[13007710, 12263788, 9834988, 882496, 13008132]"
16,17,"[924004, 1118046, 1110057, 833351, 5569230]"
17,18,"[1053628, 1010766, 1007259, 9677886, 880427]"
18,19,"[6533765, 962229, 1029743, 1106523, 951590]"
19,20,"[1075368, 1126899, 1070820, 1058997, 10149303]"
20,21,"[5592030, 1029743, 7442091, 896369, 947798]"
21,22,"[1104349, 827656, 13115981, 1018339, 824073]"
22,23,"[1075368, 1034176, 1138858, 837644, 906844]"
23,24,"[993638, 1096036, 1041796, 870547, 893501]"
24,25,"[991442, 929018, 1029743, 13213122, 1044805]"
25,26,"[1021133, 1040700, 999270, 1026346, 7410343]"
26,27,"[963686, 1029252, 1058709, 883186, 967496]"
27,28,"[13115551, 6534881, 903567, 6534030, 8090532]"
28,29,"[12781777, 864893, 1002558, 1044078, 1038663]"
29,30,"[859075, 903325, 1034686, 959985, 819765]"
30,31,"[1029743, 1070820, 9526100, 1126899, 1050851]"
31,32,"[1137484, 962568, 8293447, 1024319, 1054424]"
32,33,"[9835747, 871756, 12810472, 1127758, 15452812]"
33,34,"[9835619, 993638, 819063, 1048445, 819304]"
34,35,"[1029743, 1058997, 1106523, 9570062, 934697]"
35,36,"[1084310, 1029743, 1097991, 962229, 1070820]"
36,37,"[1056212, 898448, 5568758, 1135681, 1139638]"
37,38,"[6704207, 6632283, 5565322, 5564850, 5565664]"
38,39,"[880050, 1127716, 6395907, 9416729, 1029743]"
39,40,"[903325, 1083043, 1112205, 997539, 1029743]"
40,41,"[9419888, 913210, 1126899, 12985761, 12524323]"
41,42,"[951094, 829621, 1031087, 5995177, 13115501]"
42,43,"[828867, 1106301, 1070820, 1075470, 1085604]"
43,44,"[1082310, 1029743, 1068719, 7155863, 885290]"
44,45,"[8090537, 1044078, 1106523, 8090532, 8090521]"
45,46,"[1064536, 834631, 889649, 1029743, 1106523]"
46,47,"[8119318, 6533681, 892294, 6534077, 15926712]"
47,48,"[885356, 841905, 826816, 880150, 1027372]"
48,49,"[962229, 1029743, 1070820, 893501, 1058779]"
49,50,"[909894, 1029688, 860975, 1023958, 1092937]"
50,51,"[1028995, 962229, 1029743, 1070272, 9677202]"
51,52,"[1056740, 937403, 1060408, 1106523, 13417846]"
52,53,"[6034857, 833940, 906335, 1099802, 1058543]"
53,54,"[1110572, 8090537, 8090521, 1102959, 5569471]"
54,55,"[13008334, 9547020, 13008412, 13007355, 13007846]"
55,56,"[963835, 9655212, 1028621, 9803545, 6533362]"
56,57,"[828867, 12670635, 12648967, 848319, 820486]"
57,58,"[1070820, 977780, 1126899, 1058997, 844179]"
58,59,"[961554, 1056509, 972931, 1077555, 913785]"
59,60,"[5568378, 965766, 1027569, 962568, 1043751]"
60,61,"[1056509, 1077555, 1071939, 857503, 1121393]"
61,62,"[962568, 1058997, 950824, 934639, 889731]"
62,63,"[9926758, 896085, 861675, 1130111, 916993]"
63,64,"[1013928, 949023, 856060, 1106523, 829852]"
64,65,"[12330794, 12330856, 962229, 15511396, 912817]"
65,66,"[1053690, 844179, 1029743, 859075, 1126899]"
66,67,"[13417761, 1029743, 961554, 951590, 1058997]"
67,68,"[1085604, 1029743, 879755, 1068719, 869577]"
68,69,"[951590, 1043590, 1044078, 1069621, 1127831]"
69,70,"[844179, 1058997, 839656, 1023958, 1126899]"
70,71,"[1008288, 1056509, 10149656, 899624, 896085]"
71,72,"[8019681, 5585510, 865705, 1078082, 1072523]"
72,73,"[1029743, 1106523, 1126899, 1070820, 1071939]"
73,74,"[1127624, 1126045, 1043590, 1077555, 1038746]"
74,75,"[849202, 1085604, 913210, 879755, 910473]"
75,76,"[1139782, 6391134, 7409644, 1071939, 873654]"
76,77,"[1106523, 1126899, 6979128, 1003188, 1123536]"
77,78,"[952972, 5591154, 6773232, 896369, 851287]"
78,79,"[1053690, 944167, 1067271, 1070820, 864805]"
79,80,"[1029743, 910673, 1103741, 942556, 1043590]"
