iter	Logloss	Accuracy
0	0.6429456216	0.7967312673
1	0.6065547722	0.7993467638
2	0.5766530372	0.8023450159
3	0.5531788291	0.803722936
4	0.5329113778	0.8052284413
5	0.5171296323	0.805368785
6	0.5040019448	0.8064149836
7	0.4934233791	0.8072442874
8	0.4849806763	0.8077163526
9	0.4776009554	0.8082139349
10	0.4717662811	0.80799704
11	0.46702305	0.8083287615
12	0.4634832902	0.8082139349
13	0.4597294288	0.808634966
14	0.4565901391	0.8089028949
15	0.4533222821	0.8097704742
16	0.4504466147	0.8100384031
17	0.4476271948	0.8105615024
18	0.444702903	0.8105104684
19	0.4425183687	0.8107783973
20	0.4406252273	0.8112887381
21	0.4392614665	0.811607701
22	0.43763649	0.8119139055
23	0.436048771	0.8121180418
24	0.4343914905	0.8123604537
25	0.4333547524	0.81290907
26	0.4322122877	0.813202516
27	0.4310610194	0.8135980301
28	0.4303233094	0.8140828538
29	0.429541892	0.8141976805
30	0.4287916519	0.8140828538
31	0.4276158565	0.8145676776
32	0.4268994061	0.8149887087
33	0.4260318381	0.8151418109
34	0.4253219595	0.8153969813
35	0.4244924873	0.8155245665
36	0.4237360489	0.8160221488
37	0.4231227953	0.8160349073
38	0.4224652199	0.8161114584
39	0.4218436469	0.8164559385
40	0.4213424032	0.8166217992
41	0.4208940201	0.8167749014
42	0.4203890198	0.8169917963
43	0.4199150622	0.81713214
44	0.419396192	0.8173362763
45	0.4187418486	0.8177190319
46	0.4182282007	0.8175786882
47	0.4173959798	0.8177573074
48	0.4167515402	0.8181273045
49	0.4161911132	0.8185483357
50	0.4155289153	0.8189055742
51	0.4150525593	0.8192117787
52	0.4144255537	0.8194924661
53	0.4139512325	0.8197731535
54	0.4134301902	0.8198241876
55	0.4128736042	0.8201431506
56	0.4123482933	0.8202452187
57	0.4118410564	0.820423838
58	0.4115043105	0.8206534914
59	0.410916334	0.8208065936
60	0.4104883556	0.8210234884
61	0.4100939864	0.8211127981
62	0.4097601904	0.8211765907
63	0.409331445	0.8215338292
64	0.4088266471	0.8218017581
65	0.4083959991	0.8221334796
66	0.407900964	0.8222865819
67	0.4074613239	0.8225289937
68	0.4070908476	0.8225927863
69	0.4067875182	0.82273313
70	0.406507313	0.8226565789
71	0.4061149902	0.8229883004
72	0.4057386271	0.8229627834
73	0.4054275284	0.8232434708
74	0.4049950338	0.8234476071
75	0.4045512194	0.8237665701
76	0.4040886204	0.8237282946
77	0.4038070982	0.824008982
78	0.4033747337	0.8239069138
79	0.4031318903	0.8241876013
80	0.4028338315	0.8241238087
81	0.4025182238	0.8244044961
82	0.4022771323	0.8242513939
83	0.401900253	0.8243662205
84	0.4016310008	0.8244172546
85	0.4013660147	0.8244555302
86	0.4010485209	0.8248255272
87	0.400661298	0.8253231095
88	0.4003920532	0.8254124191
89	0.3998971091	0.825654831
90	0.3995464451	0.8258844844
91	0.3992390228	0.8260886207
92	0.3988832999	0.8262162059
93	0.3985049254	0.8264331007
94	0.3982351789	0.8267137881
95	0.397931058	0.8268668904
96	0.397624901	0.8268541318
97	0.3973514779	0.8270455096
98	0.3970276605	0.827275163
99	0.396663082	0.8276324015
100	0.3964347149	0.8279258475
101	0.3960618652	0.8280151571
102	0.3958009868	0.8280534327
103	0.3955513578	0.8281682594
104	0.3952688949	0.8282703275
105	0.3950436891	0.8284489468
106	0.3948114553	0.8286658416
107	0.3945713926	0.8286786001
108	0.3941190592	0.8291251483
109	0.3938496474	0.8293930772
110	0.3936120427	0.8295334209
111	0.3933018772	0.8295079039
112	0.3930789541	0.8297375573
113	0.3927458977	0.8299161765
114	0.3923785495	0.8304775514
115	0.3921492414	0.830566861
116	0.3918752213	0.8307965144
117	0.3916310758	0.830860307
118	0.3912937773	0.830885824
119	0.3910584046	0.8308347899
120	0.3907586299	0.8310134092
121	0.390434065	0.8312813381
122	0.3901409622	0.8314599574
123	0.3898269975	0.8314216818
124	0.3894971189	0.8319320226
125	0.3891408224	0.8318299545
126	0.3887924193	0.8322637441
127	0.3885399526	0.8324296049
128	0.3882250612	0.8328123605
129	0.3878525387	0.8330164968
130	0.387530886	0.8332078746
131	0.3873110596	0.8336289057
132	0.3869938123	0.8339095931
133	0.3866422881	0.8342668317
134	0.3863281727	0.8343688998
135	0.3860243051	0.8345730361
136	0.3857456501	0.8347644139
137	0.3853910654	0.8347644139
138	0.3850751112	0.8350195843
139	0.3847058454	0.8353385473
140	0.3844099544	0.8353895814
141	0.3841918674	0.8355171666
142	0.383909145	0.8356575103
143	0.3835338014	0.8358488881
144	0.3831834325	0.8359254392
145	0.3827082715	0.8359764733
146	0.3824337867	0.8363081948
147	0.3822321948	0.8362699192
148	0.381897071	0.8366016407
149	0.3816235214	0.8366143993
150	0.3812964413	0.8365506067
151	0.3810237463	0.8367037089
152	0.3807682022	0.8371502571
153	0.380458386	0.8374054275
154	0.3801409749	0.8375840467
155	0.3798824448	0.8379668023
156	0.3796075643	0.8381199046
157	0.3792612968	0.8383623164
158	0.3789247997	0.8385792113
159	0.3786515714	0.8388088646
160	0.3783772655	0.8389619669
161	0.3781048023	0.8391023106
162	0.3778279841	0.8392426543
163	0.3774341228	0.8395105832
164	0.3771992046	0.8395233417
165	0.3768043101	0.8398933388
166	0.376527379	0.8400847166
167	0.376169399	0.8403143699
168	0.3758242242	0.8402760944
