iter	Passed	Remaining
0	144	57821
1	248	49492
2	379	50212
3	534	52885
4	654	51738
5	777	51075
6	953	53528
7	1172	57440
8	1331	57829
9	1463	57083
10	2150	76061
11	2548	82403
12	2671	79526
13	2788	76872
14	2896	74345
15	2993	71847
16	3144	70838
17	3258	69158
18	3411	68408
19	3507	66651
20	3609	65150
21	3715	63844
22	3834	62847
23	3936	61670
24	4038	60575
25	4143	59605
26	4253	58761
27	4395	58392
28	4497	57535
29	4593	56656
30	4700	55945
31	4829	55539
32	4941	54957
33	5054	54411
34	5151	53726
35	5262	53212
36	5421	53191
37	5523	52614
38	5611	51941
39	5719	51477
40	5847	51197
41	5974	50929
42	6078	50466
43	6215	50291
44	6379	50326
45	6497	50002
46	6595	49535
47	6741	49434
48	6860	49143
49	6967	48769
50	7062	48329
51	7173	48010
52	7274	47629
53	7446	47711
54	7597	47657
55	7799	47910
56	8031	48331
57	8157	48101
58	8264	47766
59	8417	47699
60	8534	47430
61	8643	47119
62	8760	46862
63	8890	46676
64	9014	46461
65	9121	46158
66	9233	45890
67	9365	45725
68	9497	45559
69	9594	45233
70	9693	44917
71	9873	44981
72	9985	44727
73	10091	44457
74	10199	44197
75	10306	43938
76	10462	43890
77	10559	43593
78	10662	43323
79	10813	43252
80	10929	43043
81	11028	42770
82	11124	42485
83	11227	42237
84	11370	42137
85	11491	41957
86	11609	41766
87	11742	41634
88	11933	41699
89	12103	41688
90	12239	41561
91	12384	41462
92	12548	41421
93	12655	41198
94	12785	41049
95	12893	40827
96	13019	40670
97	13129	40460
98	13237	40246
99	13372	40118
100	13513	40004
101	13611	39766
102	13714	39545
103	13837	39382
104	13961	39225
105	14061	39001
106	14157	38768
107	14252	38535
108	14396	38435
109	14531	38310
110	14633	38098
111	14735	37891
112	14863	37751
113	14989	37604
114	15090	37399
115	15189	37189
116	15290	36984
117	15436	36891
118	15567	36760
119	15703	36642
120	15860	36571
121	15965	36381
122	16051	36147
123	16162	35973
124	16266	35785
125	16452	35776
126	16571	35621
127	16695	35478
128	16828	35352
129	16947	35198
130	17049	35010
131	17154	34828
132	17263	34656
133	17385	34510
134	17534	34420
135	17641	34245
136	17774	34121
137	17894	33973
138	18002	33802
139	18123	33658
140	18266	33553
141	18430	33485
142	18562	33360
143	18733	33303
144	18964	33351
145	19077	33189
146	19186	33022
147	19292	32850
148	19435	32740
149	19560	32600
150	19668	32433
151	19792	32292
152	19908	32140
153	20039	32010
154	20143	31839
155	20230	31642
156	20328	31464
157	20509	31413
158	20636	31279
159	20751	31127
160	20875	30989
161	20977	30818
162	21083	30654
163	21199	30506
164	21317	30361
165	21483	30284
166	21592	30126
167	21705	29974
168	21886	29916
169	22085	29879
170	22196	29724
171	22321	29589
172	22489	29509
173	22595	29348
174	22700	29185
175	22814	29036
176	22921	28878
177	23033	28726
178	23135	28564
179	23254	28422
180	23362	28267
181	23523	28176
182	23645	28039
183	23783	27919
184	23948	27832
185	24107	27737
186	24219	27586
187	24326	27432
188	24428	27272
189	24596	27185
190	24700	27028
191	24824	26893
192	24951	26761
193	25065	26615
194	25173	26464
195	25291	26323
196	25394	26167
197	25533	26048
198	25642	25899
199	25779	25779
200	25895	25637
201	26001	25486
202	26121	25349
203	26226	25198
204	26338	25053
205	26447	24907
206	26601	24802
207	26709	24654
208	26839	24527
209	26937	24371
210	27071	24248
211	27194	24116
212	27314	23980
213	27412	23826
214	27567	23720
215	27687	23585
216	27824	23465
217	27925	23314
218	28035	23171
219	28142	23025
220	28259	22889
221	28356	22735
222	28461	22590
223	28615	22483
224	28757	22367
225	28915	22262
226	29070	22155
227	29191	22021
228	29400	21953
229	29659	21921
230	29766	21776
231	29912	21660
232	30012	21511
233	30121	21368
234	30229	21224
235	30333	21079
236	30450	20942
237	30603	20831
238	30720	20694
239	30857	20571
240	30982	20440
241	31111	20312
242	31244	20186
243	31355	20047
244	31475	19913
245	31663	19822
246	31798	19696
247	31921	19564
248	32042	19431
249	32174	19304
250	32274	19158
251	32373	19013
252	32496	18881
253	32651	18768
254	32782	18641
255	32915	18514
256	33031	18379
257	33152	18246
258	33266	18110
259	33393	17981
260	33494	17838
261	33659	17729
262	33804	17609
263	33998	17514
264	34106	17375
265	34231	17244
266	34330	17100
267	34446	16966
268	34546	16823
269	34718	16716
270	34851	16589
271	34962	16452
272	35067	16313
273	35189	16182
274	35307	16048
275	35409	15908
276	35517	15771
277	35670	15653
278	35831	15539
279	36004	15430
280	36117	15295
281	36246	15166
282	36351	15028
283	36481	14900
284	36593	14765
285	36757	14651
286	36878	14520
287	36993	14386
288	37127	14260
289	37235	14123
290	37341	13987
291	37459	13854
292	37565	13718
293	37727	13602
294	37862	13476
295	37962	13338
296	38064	13200
297	38285	13104
298	38391	12968
299	38526	12842
300	38678	12721
301	38949	12639
302	39059	12504
303	39205	12380
304	39338	12253
305	39450	12118
306	39571	11987
307	39847	11902
308	40023	11786
309	40183	11666
310	40346	11545
311	40466	11413
312	40575	11278
313	40808	11176
314	40974	11056
315	41111	10928
316	41255	10801
317	41417	10679
318	41559	10552
319	41660	10415
320	41870	10304
321	41963	10165
322	42103	10036
323	42216	9902
324	42344	9771
325	42457	9637
326	42560	9501
327	42671	9366
328	42897	9257
329	43012	9123
330	43126	8990
331	43226	8853
332	43351	8722
333	43449	8585
334	43555	8451
335	43667	8317
336	43873	8201
337	43969	8065
338	44081	7932
339	44184	7797
340	44297	7664
341	44438	7536
342	44539	7401
343	44655	7269
344	44889	7156
345	44988	7021
346	45099	6888
347	45215	6756
348	45355	6627
349	45456	6493
350	45569	6361
351	45704	6232
352	45972	6121
353	46101	5990
354	46211	5857
355	46328	5725
356	46461	5596
357	46560	5462
358	46672	5330
359	46836	5204
360	46978	5075
361	47103	4944
362	47224	4813
363	47325	4680
364	47459	4550
365	47564	4418
366	47670	4286
367	47894	4164
368	48069	4038
369	48173	3905
370	48280	3773
371	48442	3646
372	48559	3515
373	48678	3384
374	48801	3253
375	48974	3126
376	49085	2994
377	49206	2863
378	49330	2733
379	49526	2606
380	49689	2477
381	49821	2347
382	49980	2218
383	50078	2086
384	50188	1955
385	50290	1824
386	50417	1693
387	50589	1564
388	50838	1437
389	51070	1309
390	51176	1177
391	51280	1046
392	51391	915
393	51529	784
394	51639	653
395	51758	522
396	51906	392
397	52093	261
398	52222	130
399	52374	0
